store_code,store_name,item_code,model,color,quantity,updated_at
851,코스트코 대구점,696801,Galaxy Z Flip8,핑크,3,2026-07-23 11:30
851,코스트코 대구점,696802,Galaxy Z Flip8,그라파이트,2,2026-07-23 11:30
851,코스트코 대구점,696803,Galaxy Z Flip8,크림,4,2026-07-23 11:30
851,코스트코 대구점,696804,Galaxy Z Fold8,라벤더,2,2026-07-23 11:30
851,코스트코 대구점,696805,Galaxy Z Fold8,그라파이트,2,2026-07-23 11:30
851,코스트코 대구점,696806,Galaxy Z Fold8,크림,1,2026-07-23 11:30
851,코스트코 대구점,696807,Galaxy Z Fold8 Ultra,그라파이트,1,2026-07-23 11:30
851,코스트코 대구점,696808,Galaxy Z Fold8 Ultra,바이올렛,1,2026-07-23 11:30
851,코스트코 대구점,696809,Galaxy Z Fold8 Ultra,크림,0,2026-07-23 11:30
851,코스트코 대구점,696911,Galaxy Watch9 40mm,그라파이트,2,2026-07-23 11:30
851,코스트코 대구점,696912,Galaxy Watch9 40mm,크림,3,2026-07-23 11:30
851,코스트코 대구점,696913,Galaxy Watch9 44mm,그라파이트,2,2026-07-23 11:30
851,코스트코 대구점,696914,Galaxy Watch9 44mm,실버,2,2026-07-23 11:30
851,코스트코 대구점,696915,Galaxy Watch Ultra2,블랙,1,2026-07-23 11:30
851,코스트코 대구점,696916,Galaxy Watch Ultra2,화이트,1,2026-07-23 11:30
